"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","ab","hit","strikeout","walk","k_percent","bb_percent","batting_avg","babip","p_pickoff_attempt_1b","p_pickoff_1b","p_gnd_into_dp","p_hit_by_pitch","xba","xbadiff"
"Strider, Spencer","675911","2022","23","131.2","528","478","86","202","45",38.3,8.5,".180",".292","19","1","3","3",".179",".001"
"Ashby, Aaron","676879","2022","24","107.1","475","418","106","126","47",26.5,9.9,".254",".325","31","0","10","6",".221",".033"
"Garcia, Luis","677651","2022","25","157.1","643","589","131","157","47",24.4,7.3,".222",".261","67","0","11","1",".228","-0.006"
"Gray, Josiah","680686","2022","24","148.2","649","569","136","154","66",23.7,10.2,".239",".257","42","0","9","8",".218",".021"
"Bradish, Kyle","680694","2022","25","117.2","509","449","119","111","46",21.8,9,".265",".314","57","0","18","7",".253",".012"
"Wainwright, Adam","425794","2023","41","101.0","484","438","151","55","41",11.4,8.5,".345",".359","9","0","13","1",".325",".020"
"Greinke, Zack","425844","2023","39","142.1","593","561","158","97","23",16.4,3.9,".282",".300","34","5","14","4",".290","-0.008"
"Verlander, Justin","434378","2023","40","162.1","669","615","139","144","45",21.5,6.7,".226",".265","36","0","9","5",".229","-0.003"
"Hill, Rich","448179","2023","43","146.1","660","587","165","129","58",19.5,8.8,".281",".323","45","1","13","7",".280",".001"
"Morton, Charlie","450203","2023","39","163.1","716","615","150","183","83",25.6,11.6,".244",".323","45","2","16","12",".248","-0.004"
"Scherzer, Max","453286","2023","38","152.2","621","570","126","174","45",28,7.2,".221",".265","22","0","10","4",".207",".014"
"Lynn, Lance","458681","2023","36","183.2","808","729","189","191","67",23.6,8.3,".259",".292","24","0","14","9",".252",".007"
"Carrasco, Carlos","471911","2023","36","90.0","417","371","115","66","38",15.8,9.1,".310",".336","52","3","9","6",".306",".004"
"Kershaw, Clayton","477132","2023","35","131.2","523","479","100","137","40",26.2,7.6,".209",".250","47","1","17","3",".232","-0.023"
"Miley, Wade","489119","2023","36","120.1","490","443","99","79","38",16.1,7.8,".223",".236","27","4","14","3",".253","-0.030"
"Gibson, Kyle","502043","2023","35","192.0","807","732","198","157","55",19.5,6.8,".270",".311","50","1","25","6",".270",".000"
"Cobb, Alex","502171","2023","35","151.1","646","600","163","131","37",20.3,5.7,".272",".319","60","2","16","6",".277","-0.005"
"Darvish, Yu","506433","2023","36","136.1","573","517","134","141","42",24.6,7.3,".259",".319","33","0","14","8",".242",".017"
"Kelly, Merrill","518876","2023","34","177.2","721","645","143","187","68",25.9,9.4,".222",".279","65","3","19","4",".244","-0.022"
"Sale, Chris","519242","2023","34","102.2","425","384","87","125","29",29.4,6.8,".227",".291","7","0","9","8",".211",".016"
"Pérez, Martín","527048","2023","32","141.2","608","547","150","93","49",15.3,8.1,".274",".295","17","0","20","4",".272",".002"
"Anderson, Tyler","542881","2023","33","141.0","629","549","146","119","64",18.9,10.2,".266",".302","59","0","10","7",".259",".007"
"Cole, Gerrit","543037","2023","32","209.0","821","761","157","222","48",27,5.8,".206",".263","28","1","16","7",".232","-0.026"
"DeSclafani, Anthony","543101","2023","33","99.2","419","388","105","79","20",18.9,4.8,".271",".303","13","1","9","4",".286","-0.015"
"Eovaldi, Nathan","543135","2023","33","144.0","577","521","117","132","47",22.9,8.1,".225",".271","23","1","21","6",".238","-0.013"
"Gray, Sonny","543243","2023","33","184.0","754","689","156","183","55",24.3,7.3,".226",".295","41","2","16","6",".244","-0.018"
"Hendricks, Kyle","543294","2023","33","137.0","578","542","138","93","27",16.1,4.7,".255",".284","55","0","4","4",".269","-0.014"
"Lyles, Jordan","543475","2023","32","177.2","748","689","176","120","45",16,6,".255",".256","28","1","16","6",".265","-0.010"
"Lorenzen, Michael","547179","2023","31","153.0","624","567","138","111","47",17.8,7.5,".243",".268","19","1","20","2",".258","-0.015"
"Wheeler, Zack","554430","2023","33","192.0","787","734","168","212","39",26.9,5,".229",".292","43","0","8","9",".229",".000"
"Corbin, Patrick","571578","2023","33","180.0","790","717","210","124","57",15.7,7.2,".293",".311","66","7","16","4",".303","-0.010"
"Heaney, Andrew","571760","2023","32","147.1","641","569","143","151","60",23.6,9.4,".251",".302","10","0","16","10",".240",".011"
"Matz, Steven","571927","2023","32","105.0","449","410","108","98","32",21.8,7.1,".263",".320","9","0","10","3",".252",".011"
"Mikolas, Miles","571945","2023","34","201.1","860","802","226","137","39",15.9,4.5,".282",".309","31","1","16","8",".291","-0.009"
"Paxton, James","572020","2023","34","96.0","411","372","93","101","33",24.6,8,".250",".294","2","0","7","2",".229",".021"
